age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,race,relationship,sex,workclass
90,92500,3375,1,Bachelors,9,89,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Female,Private
90,92500,3375,1,Bachelors,9,89,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Male,Private
90,92500,3375,1,Bachelors,9,76,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Female,Private
90,92500,3375,1,Bachelors,9,76,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Male,Private
90,92500,2286,1,Bachelors,9,89,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Female,Private
90,92500,2286,1,Bachelors,9,89,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Male,Private
90,92500,2286,1,Bachelors,9,76,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Female,Private
90,92500,2286,1,Bachelors,9,76,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Male,Private
79,92500,3375,1,Some-college,9,90,Divorced,Nicaragua,Craft-repair,White,Not-in-family,Female,Self-emp-not-inc
79,92500,3375,1,Some-college,9,90,Divorced,Nicaragua,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc
80,92500,3593,1,HS-grad,10,78,Divorced,Scotland,Sales,Asian-Pac-Islander,Not-in-family,Female,Self-emp-not-inc
80,92500,3593,1,HS-grad,10,78,Divorced,Scotland,Sales,Asian-Pac-Islander,Not-in-family,Male,Self-emp-not-inc
79,92500,2286,1,Some-college,9,90,Divorced,Nicaragua,Craft-repair,White,Not-in-family,Female,Self-emp-not-inc
79,92500,2286,1,Some-college,9,90,Divorced,Nicaragua,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc
80,92500,2504,1,HS-grad,10,78,Divorced,Scotland,Sales,Asian-Pac-Islander,Not-in-family,Female,Self-emp-not-inc
80,92500,2504,1,HS-grad,10,78,Divorced,Scotland,Sales,Asian-Pac-Islander,Not-in-family,Male,Self-emp-not-inc
90,92500,3375,1,Bachelors,1,89,Married-civ-spouse,Guatemala,Tech-support,White,Not-in-family,Female,Private
